Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
alternative,0.5,100,25,0.007966439340762877,0.2622871169278251,3525.552464814352
alternative,0.6,100,25,0.007966439340762877,0.2712269689294096,3999.905160962198
alternative,0.7,100,25,0.007966439340762877,0.27249689799851745,4742.5684491483835
alternative,0.8,100,25,0.007966439340762877,0.2733821612352769,5345.473900537706
alternative,0.1,100,50,0.007967955446547336,0.18417181290550722,1707.0822034788132
alternative,0.2,100,50,0.007967955446547336,0.23970278765624123,2366.7139274777855
alternative,0.3,100,50,0.007967955446547336,0.17790467205087857,5718.2951441970945
alternative,0.4,100,50,0.007967955446547336,0.10741279131423428,11911.481893289725
alternative,0.5,100,50,0.007967955446547336,0.11994949249257751,12619.807284791106
alternative,0.6,100,50,0.007967955446547336,0.12738319008840196,13656.756962248879
alternative,0.7,100,50,0.007967955446547336,0.13896159515879022,14175.749385470423
alternative,0.8,100,50,0.007967955446547336,0.14818490076189803,14799.02927043871
alternative,0.1,100,75,0.007962389142427109,0.2552039576834422,2050.274840455514
alternative,0.2,100,75,0.007962389142427109,0.08396246009655157,14049.117956031378
alternative,0.3,100,75,0.007962389142427109,0.09575216891901324,15590.593170726359
alternative,0.4,100,75,0.007962389142427109,0.0901735236556507,19893.33654686338
alternative,0.5,100,75,0.007962389142427109,0.09633764994700508,22566.870852270327
alternative,0.6,100,75,0.007962389142427109,0.10954983077381863,23363.881222440963
alternative,0.7,100,75,0.007962389142427109,0.1226409137571948,23958.57280734255
alternative,0.8,100,75,0.007962389142427109,0.13438352487011554,24597.632035939572
alternative,0.1,100,100,0.007963327522861621,0.21962988893259683,3539.7376819339447
alternative,0.2,100,100,0.007963327522861621,0.25996965556000456,5008.424912131962
alternative,0.3,100,100,0.007963327522861621,0.2758077369869004,6371.550592247612
alternative,0.4,100,100,0.007963327522861621,0.2864894106023889,7681.634195489391
alternative,0.5,100,100,0.007963327522861621,0.2867674577885322,9403.090182574831
alternative,0.6,100,100,0.007963327522861621,0.2358070349624852,14216.84727928618
alternative,0.7,100,100,0.007963327522861621,0.18789617802198016,18912.078757035688
alternative,0.8,100,100,0.007963327522861621,0.13926610421914398,27381.90995587543
alternative,0.1,200,25,0.005093435053328369,0.33333603896103914,738.3333841177274
alternative,0.2,200,25,0.005093435053328369,0.34763003336532733,1369.7570568015797
alternative,0.3,200,25,0.005093435053328369,0.3941517343623531,1808.911745196202
alternative,0.4,200,25,0.005093435053328369,0.3790598864179836,2526.8866326459397
alternative,0.5,200,25,0.005093435053328369,0.40685446805266395,2917.0266317909927
alternative,0.6,200,25,0.005093435053328369,0.4107282836254808,3415.8765042977398
alternative,0.7,200,25,0.005093435053328369,0.42784879652414204,3857.24823683839
alternative,0.8,200,25,0.005093435053328369,0.42599606291986253,4413.496035016864
alternative,0.1,200,50,0.005065025212085416,0.3170780805993485,1297.5510746013733
alternative,0.2,200,50,0.005065025212085416,0.3819059531633927,1903.6931572758983
alternative,0.3,200,50,0.005065025212085416,0.3781652188427007,2802.252276413243
alternative,0.4,200,50,0.005065025212085416,0.3446890855405232,3779.111076203697
alternative,0.5,200,50,0.005065025212085416,0.3451898674631022,4424.862447069189
alternative,0.6,200,50,0.005065025212085416,0.3463491706229725,5077.436957703842
alternative,0.7,200,50,0.005065025212085416,0.3470308315391239,5708.67989137824
alternative,0.8,200,50,0.005065025212085416,0.3491295696159533,6428.975774623632
alternative,0.1,200,75,0.005034153598196354,0.3740047790934181,1750.8367384695644
alternative,0.2,200,75,0.005034153598196354,0.34539522250566185,3007.475795955357
alternative,0.3,200,75,0.005034153598196354,0.32296853104825224,4189.108359816391
alternative,0.4,200,75,0.005034153598196354,0.2854048753795242,5883.870704024531
